# sensor_id  dir_x  dir_y  dir_z  pos_x  pos_y  pos_z  face
0 -0.457501 0.889209 -0.000807272 -29.8508 57.1872 -32.609 0
1 -0.457556 0.88918 -0.000807267 -29.8553 57.1864 -31.1021 0
2 -0.457611 0.889153 -0.000807262 -29.8598 57.1854 -29.5952 0
3 -0.457666 0.889124 -0.000807257 -29.8643 57.1844 -28.0883 0
4 -0.457721 0.889095 -0.000807253 -29.8689 57.1835 -26.5814 0
5 -0.457776 0.889067 -0.000807248 -29.8733 57.1825 -25.0745 0
6 -0.457831 0.889038 -0.000807243 -29.8779 57.1816 -23.5676 0
7 -0.457886 0.889011 -0.00080724 -29.8824 57.1806 -22.0607 0
8 -0.457942 0.888983 -0.000807235 -29.8869 57.1796 -20.5538 0
9 -0.457997 0.888954 -0.00080723 -29.8915 57.1786 -19.0469 0
10 -0.458052 0.888925 -0.000807226 -29.896 57.1777 -17.54 0
11 -0.458107 0.888896 -0.000807221 -29.9005 57.1768 -16.033 0
12 -0.458162 0.888868 -0.000807215 -29.905 57.1757 -14.5261 0
13 -0.458217 0.88884 -0.000807211 -29.9096 57.1748 -13.0192 0
14 -0.458271 0.888812 -0.000807207 -29.914 57.1738 -11.5123 0
15 -0.458326 0.888784 -0.000807202 -29.9186 57.1729 -10.0054 0
16 -0.458381 0.888755 -0.000807197 -29.923 57.1719 -8.49855 0
17 -0.458436 0.888726 -0.000807193 -29.9276 57.1709 -6.99165 0
18 -0.458491 0.888698 -0.000807189 -29.9321 57.17 -5.48474 0
19 -0.458547 0.88867 -0.000807184 -29.9365 57.169 -3.97784 0
20 -0.458603 0.888641 -0.00080718 -29.9411 57.1681 -2.47094 0
21 -0.458658 0.888613 -0.000807174 -29.9456 57.167 -0.964038 0
22 -0.458713 0.888584 -0.00080717 -29.9502 57.1661 0.542863 0
23 -0.458768 0.888556 -0.000807164 -29.9547 57.1651 2.04976 0
24 -0.458823 0.888528 -0.000807161 -29.9593 57.1642 3.55667 0
25 -0.458878 0.888499 -0.000807156 -29.9637 57.1632 5.06357 0
26 -0.458933 0.888471 -0.000807151 -29.9683 57.1623 6.57047 0
27 -0.458988 0.888442 -0.000807147 -29.9728 57.1614 8.07737 0
28 -0.459042 0.888414 -0.000807142 -29.9773 57.1604 9.58428 0
29 -0.459097 0.888386 -0.000807138 -29.9818 57.1594 11.0912 0
30 -0.459153 0.888358 -0.000808134 -29.9863 57.1584 12.5981 0
31 -0.459208 0.888329 -0.000808129 -29.9908 57.1575 14.105 0
32 -0.459263 0.8883 -0.000808123 -29.9953 57.1566 15.6119 0
33 -0.459318 0.888271 -0.000808119 -29.9998 57.1555 17.1188 0
34 -0.459373 0.888243 -0.000808114 -30.0043 57.1546 18.6257 0
35 -0.459428 0.888215 -0.00080811 -30.0089 57.1536 20.1326 0
36 -0.459483 0.888187 -0.000808105 -30.0134 57.1526 21.6395 0
37 -0.459538 0.888158 -0.000808101 -30.018 57.1517 23.1464 0
38 -0.459593 0.88813 -0.000808096 -30.0225 57.1507 24.6533 0
39 -0.459648 0.8881 -0.000808091 -30.027 57.1498 26.1602 0
40 -0.459704 0.888073 -0.000808087 -30.0315 57.1487 27.6671 0
41 -0.459759 0.888044 -0.000808083 -30.0359 57.1478 29.174 0
42 -0.459813 0.888016 -0.000808078 -30.0405 57.1468 30.6809 0
43 -0.459868 0.887987 -0.000808073 -30.045 57.1459 32.1878 0
44 -0.479215 0.877697 -0.000816461 -31.2035 56.4701 -32.6126 0
45 -0.47927 0.877668 -0.000816457 -31.208 56.4691 -31.1057 0
46 -0.479324 0.877638 -0.000816452 -31.2125 56.468 -29.5988 0
47 -0.479379 0.877607 -0.000816447 -31.2169 56.467 -28.0919 0
48 -0.479433 0.877577 -0.000816443 -31.2213 56.466 -26.585 0
49 -0.479487 0.877548 -0.000816438 -31.2259 56.4649 -25.078 0
50 -0.479543 0.877519 -0.000816434 -31.2303 56.4638 -23.5711 0
51 -0.479597 0.877489 -0.000816429 -31.2348 56.4627 -22.0642 0
52 -0.479651 0.877459 -0.000816424 -31.2392 56.4618 -20.5573 0
53 -0.479706 0.87743 -0.00081642 -31.2437 56.4607 -19.0504 0
54 -0.47976 0.877399 -0.000816415 -31.2483 56.4597 -17.5435 0
55 -0.479814 0.87737 -0.000816411 -31.2528 56.4587 -16.0366 0
56 -0.479868 0.87734 -0.000816406 -31.2572 56.4576 -14.5297 0
57 -0.479922 0.87731 -0.000816402 -31.2617 56.4566 -13.0227 0
58 -0.479976 0.877281 -0.000816398 -31.2662 56.4555 -11.5158 0
59 -0.480031 0.877251 -0.000816393 -31.2706 56.4545 -10.009 0
60 -0.480086 0.877221 -0.000816388 -31.2751 56.4534 -8.50212 0
61 -0.48014 0.877192 -0.000816384 -31.2795 56.4524 -6.99522 0
